id,country,code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
792,Turkey,TUR,6.77,-5.7,6.16,5.27,9.36,8.4,6.89,4.67,0.66,-4.83,9.16,8.77,2.13,4.05
795,Turkmenistan,TKM,5.47,4.34,0.26,3.27,5,13.04,10.97,11.06,14.7,6.1,9.2,14.7,11.1,10.2
798,Tuvalu,TUV,-0.97,1.63,7.89,-3.33,-1.35,-3.78,2.14,6.35,7.98,-4.43,-2.73,8.45,0.17,1.1
800,Uganda,UGA,3.14,5.18,8.73,6.47,6.81,6.33,10.78,8.41,8.71,7.25,5.86,6.62,3.41,5.79
804,Ukraine,UKR,5.9,9.2,5.2,9.4,12.1,2.7,7.3,7.9,2.3,-14.8,4.2,5.2,0.2,1.88
807,Macedonia,MKD,4.55,-4.53,0.85,2.82,4.63,4.35,5.03,6.15,4.95,-0.92,2.9,2.8,-0.4,3.1
818,Egypt,EGY,5.37,3.54,2.37,3.19,4.09,4.47,6.84,7.09,7.16,4.69,5.15,1.76,2.21,2.1
826,United Kingdom,GBR,4.36,2.18,2.3,3.95,3.17,3.23,2.76,3.43,-0.77,-5.17,1.66,1.12,0.28,1.66
834,Tanzania,TZA,4.93,6,7.16,6.89,7.83,7.37,6.74,7.15,7.44,6.02,7.04,6.45,6.93,6.96
840,United States,USA,4.09,0.95,1.78,2.79,3.8,3.35,2.67,1.79,-0.29,-2.8,2.51,1.85,2.78,1.88
854,Burkina Faso,BFA,1.85,6.59,5.14,7.8,4.48,8.66,6.77,3.61,5.8,2.97,7.94,4.21,9.54,6.53
858,Uruguay,URY,-1.93,-3.84,-7.73,0.81,5,7.46,4.1,6.54,7.18,2.35,8.4,7.34,3.68,4.4
860,Uzbekistan,UZB,3.8,4.2,4,4.2,7.7,7,7.3,9.5,9,8.1,8.5,8.3,8.2,8
862,Venezuela,VEN,3.69,3.39,-8.86,-7.76,18.29,10.32,9.87,8.75,5.28,-3.2,-1.49,4.18,5.63,1.34
882,Samoa,WSM,7.03,7.09,4.41,4.76,4.79,4.15,1.99,1.8,4.44,-5.13,0.53,1.44,2.94,-0.38
